source_record_id,latitude,longitude,state,district,event_year,landslide_type,material_type,triggering,geology,source,source_dataset_version,region,inventory_id,validation_status,label,negative_basis,elevation_m,slope_deg,aspect_sin,aspect_cos,profile_curvature,relief_local_m,block
30301.0,28.327545,95.783923,Arunachal Pradesh,Dibang Valley,0.0,Slide,Debris,Rainfall,Granitic Gneiss of Bomdila Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21152,gsi_inventory_record,1,,736.0,33.4,-0.97524,0.22117,0.00259909,146.0,1915_566
12.0,28.23969,96.52778,Arunachal Pradesh,Anjaw,0.0,Topple,Rock,Heavy rainfall,Profusely jointed gneisses,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21376,gsi_inventory_record,1,,1627.0,42.686,-0.2048,0.9788,0.00414467,193.0,1930_564
30195.0,28.141514,95.289198,Arunachal Pradesh,East Siang,0.0,Slide,Debris,Rainfall and toe cutting,Lower Shiwalik,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21029,gsi_inventory_record,1,,188.0,22.426,-0.73027,-0.68316,-0.00178786,73.0,1905_562
48.0,28.11142,96.54528,Arunachal Pradesh,Anjaw,0.0,Slide,Rock,Heavy rainfall,Highly jointed mesocratic granite or amphibolites (?),GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21411,gsi_inventory_record,1,,1031.0,47.243,-0.93361,-0.35829,-0.00033526,253.0,1930_562
30496.0,27.0611,95.721024,Arunachal Pradesh,Changlang,0.0,Slide,Debris,Rainfall,Shale of Disang Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21514,gsi_inventory_record,1,,1004.0,32.65,-0.85403,0.52022,-0.00284194,157.0,1914_541
30452.0,26.87859,95.35234,Arunachal Pradesh,Longding,0.0,Slide,Debris,Rainfall,"Siltstone-Shale, Disang Group",GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21551,gsi_inventory_record,1,,661.0,23.708,0.89506,-0.44595,6.808e-05,98.0,1907_537
30234.0,28.261999,95.56626,Arunachal Pradesh,Lower Dibang Valley,0.0,Slide,Debris,Rainfall,Quartzites and phyllites,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21186,gsi_inventory_record,1,,483.0,24.832,-0.81937,-0.57326,0.00344755,108.0,1911_565
25020.0,28.192217,94.713927,Arunachal Pradesh,West Siang,0.0,Slide,Rock-cum-Debris,"Rainfall, Anthropogenic",Highly jointed dioritic rock,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-20933,gsi_inventory_record,1,,322.0,19.558,0.91874,0.39486,-0.00229164,81.0,1894_563
30705.0,27.106722,93.660111,Arunachal Pradesh,Papum Pare,0.0,Slide,Debris,Rainfall and anthropogenic activity,Highly weathered sandstone,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23592,gsi_inventory_record,1,,233.0,21.26,-0.17134,0.98521,1.013e-05,91.0,1873_542
88.0,27.106472,93.663889,Arunachal Pradesh,Papum Pare,2008.0,Slide,Rock cum Debris,Rainfall,Siwalik sandstone and soil cover,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23593,gsi_inventory_record,1,,208.0,13.998,0.57384,0.81897,-0.00114828,53.0,1873_542
30749.0,27.260722,93.780306,Arunachal Pradesh,Papum Pare,0.0,Slide,Debris,Rainfall and anthropogenic activity,Sandstone,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23959,gsi_inventory_record,1,,321.0,20.041,-0.28175,-0.95949,-0.00094626,88.0,1875_545
30481.0,27.116625,95.669825,Arunachal Pradesh,Changlang,0.0,Slide,Debris,Rainfall,Flaggy sandstone with siltstone and shale of Barail Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21537,gsi_inventory_record,1,,804.0,15.23,0.77031,0.63767,-0.00224751,66.0,1913_542
30223.0,28.85641,95.859872,Arunachal Pradesh,Dibang Valley,0.0,Slide,Debris,Rainfall,Quartzites and Phyllites,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21260,gsi_inventory_record,1,,1389.0,23.672,-0.77621,-0.63047,-0.00069735,111.0,1917_577
101.0,28.16939,96.52578,Arunachal Pradesh,Anjaw,0.0,Slide,Rock, ,Weathered gneissic bedrock traversed by multiple joint sets overlain by thin clayey  soil,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21365,gsi_inventory_record,1,,1210.0,33.823,-0.99705,0.0767,0.00123437,137.0,1930_563
10006.0,27.307072,93.806008,Arunachal Pradesh,Lower Subansiri,2016.0,Slide,Debris,Heavy antecedent rainfall,Weathered gneiss (Potin Formation of Bomdila Group),GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23940,gsi_inventory_record,1,,726.0,32.872,0.88116,-0.47282,-0.00761442,144.0,1876_546
9.0,28.26814,96.55728,Arunachal Pradesh,Anjaw,0.0,Slide,Rock,Heavy rainfall,Highly jointed gneiss,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21356,gsi_inventory_record,1,,1598.0,39.584,-0.88864,0.4586,0.00043043,201.0,1931_565
30050.0,28.013167,95.239333,Arunachal Pradesh,Upper Siang,0.0,slide,soil,Rainfall,Alluvium,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21486,gsi_inventory_record,1,,257.0,13.104,-0.31623,-0.94868,-0.00108218,54.0,1904_560
30100.0,28.619917,95.057583,Arunachal Pradesh,Upper Siang,0.0,Slide,Debris,Rainfall,Sandstone and Shale of Yingkiong Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-20980,gsi_inventory_record,1,,842.0,30.594,-0.81278,-0.58257,-0.00180082,136.0,1901_572
30368.0,28.243417,95.538216,Arunachal Pradesh,East Siang,0.0,Slide,Debris,Rainfall,Intercalated shale and quartzite of Miri Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21104,gsi_inventory_record,1,,620.0,22.046,0.31211,-0.95005,0.00316538,84.0,1910_564
10019.0,27.23995,93.806589,Arunachal Pradesh,Lower Subansiri,2016.0,Slide,Debris,Heavy antecedent rainfall,Loosely packed sandstone (Subansiri Formation),GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-23950,gsi_inventory_record,1,,265.0,13.957,0.46943,-0.88297,-0.00138494,63.0,1876_544
30381.0,28.30984,95.984084,Arunachal Pradesh,Lower Dibang Valley,0.0,Slide,Rock,Rainfall,Chlorite schist with phyllite of Dibang Group,GSI (via bharatlas),GSI_Landslide_Inventory.parquet,eastern_himalaya,GSI-21333,gsi_inventory_record,1,,1136.0,12.702,0.57305,0.81952,0.00189121,82.0,1919_566
